"NAME OF THE"
"NAME OF THE                                            NAME OF THE PRIMARY"
"S. NO                        HEALTH UNIT    NAME OF THE BLOCK"
"REVENUE DISTRICT                                           HEALTH CENTRE"
"DISTRICT"
"308    DHARMAPURI         DHARMAPURI       PENNAGARAM            PAPPARAPATTI"
"309    DHARMAPURI         DHARMAPURI       PENNAGARAM            PERUMPALAI"
"310    DHARMAPURI         DHARMAPURI       PENNAGARAM            ERIYUR"
"311    DHARMAPURI         DHARMAPURI       PALACODE              MARANDAHALLI"
"312    DHARMAPURI         DHARMAPURI       PALACODE              PANCHAPPALLI"
"313    DHARMAPURI         DHARMAPURI       PALACODE              PULIKKARAI"
"314    DHARMAPURI         DHARMAPURI       PALACODE              BELRAMPATTI"
"315    DHARMAPURI         DHARMAPURI       KARIMANGALAM          HANUMANTHAPURAM"
"316    DHARMAPURI         DHARMAPURI       KARIMANGALAM          KARIMANGALAM"
"317    DHARMAPURI         DHARMAPURI       KARIMANGALAM          PERIYAMPATTI"
"318    DHARMAPURI         DHARMAPURI       KARIMANGALAM          JAKKASAMUTHIRAM"
"319    DHARMAPURI         DHARMAPURI       HARUR                 THEERTHAMALAI"
"320    DHARMAPURI         DHARMAPURI       HARUR                 KOTTAPPATTI"
"321    DHARMAPURI         DHARMAPURI       HARUR                 CHINNANKUPPAM"
"322    DHARMAPURI         DHARMAPURI       HARUR                 KOOTHADIPATTI"
"323    DHARMAPURI         DHARMAPURI       PAPPIREDDIPATTI       MOOKKAREDDIPATTI"
"324    DHARMAPURI         DHARMAPURI       PAPPIREDDIPATTI       SITHERI"
"325    DHARMAPURI         DHARMAPURI       PAPPIREDDIPATTI       BAIRANATHAM"
"326    DHARMAPURI         DHARMAPURI       PAPPIREDDIPATTI       B.MALLAPURAM"
"327    DHARMAPURI         DHARMAPURI       PAPPIREDDIPATTI       BOOTHANATHAM"
"328    DHARMAPURI         DHARMAPURI       MORAPPUR              KADATHUR"
"329    DHARMAPURI         DHARMAPURI       MORAPPUR              MORAPPUR"
"330    DHARMAPURI         DHARMAPURI       MORAPPUR              KAMBAINALLUR"
"331    DHARMAPURI         DHARMAPURI       MORAPPUR              CHINTHALPADI"
"332    DHARMAPURI         DHARMAPURI       MORAPPUR              RAMIANAHALLI"
"333    DHARMAPURI         DHARMAPURI       NALLAMPALLI           PALAYAMPUDUR"
"334    DHARMAPURI         DHARMAPURI       NALLAMPALLI           LALIGAM"
"335    DHARMAPURI         DHARMAPURI       NALLAMPALLI           THOPPUR"
"336    DHARMAPURI         DHARMAPURI       NALLAMPALLI           BANDAHALLI"
"337    DHARMAPURI         DHARMAPURI       NALLAMPALLI           INDOOR"
"338    DHARMAPURI         KRISHNAGIRI      THALI                 KAKKADASAM"
"339    DHARMAPURI         KRISHNAGIRI      THALI                 ANCHETTY"
"340    DHARMAPURI         KRISHNAGIRI      THALI                 BALATHODDANAPALLI"
"341    DHARMAPURI         KRISHNAGIRI      THALI                 THALLI"
